HeroName,Aliases,Alignment,Combat,Durability,EyeColor,FullName,Gender,HairColor,Height,Intelligence,Nicknames,Placeofbirth,Power,Publisher,Race,SkinColor,Speed,Strength,Weight
Hawk,"Monarch, Extant",good,42,95,Red,Henry Hall,male,Brown,6'1 // 185 cm,38,-,-,43,DC Comics,-,,35,38,197 lb // 89 kg
Krypto,-,good,40,90,Blue,Krypto the Superdog,male,White,0'25 // 64 cm,9,-,-,78,DC Comics,Kryptonian,,100,80,40 lb // 18 kg
Robin-VI,-,neutral,70,20,Green,Carrie Kelley,female,Red,- // 0 cm,50,-,Gotham City,17,DC Comics,Human,,25,8,- lb // 0 kg
Simon-Baz,"Green Lantern, White Lantern",good,60,55,Bown,-,male,Black,- // 0 cm,56,-,"Dearborn, Michigan",100,DC Comics,Human,,42,90,- lb // 0 kg
Bushido,-,good,70,10,-,Ryuko Orsono,male,-,- // 0 cm,38,-,-,19,DC Comics,Human,,8,10,- lb // 0 kg
Adam-Strange,"Warrior of Two Worlds, Savior of Rann",good,50,40,Blue,Adam Strange,male,Blond,6'1 // 185 cm,69,-,"Chicago, Illinois",37,DC Comics,Human,,33,10,195 lb // 88 kg
Hawkgirl,"Chay-Ara; Sheila Carr; Lady Celia Penbrook, Kate Manser; Shiera Sanders",good,72,99,Green,Kendra Saunders,female,Red,5'9 // 175 cm,50,-,-,86,DC Comics,-,,53,28,135 lb // 61 kg
John-Constantine,Hellblazer,good,65,40,Blue,John Constantine,male,Blond,6'0 // 183 cm,63,-,-,49,DC Comics,Human,,8,10,- lb // 0 kg
Phantom-Girl,-,good,42,28,Blue,Tinya Wazzo,female,Black,5'6 // 168 cm,38,-,-,53,DC Comics,-,,23,10,120 lb // 54 kg
Giganta,-,bad,42,85,Green,Doris Zuel,female,Red,205 // 62.5 meters,81,-,-,32,DC Comics,-,,23,89,1400 lb // 630 kg
Beast-Boy,"Changeling, Beast-Brat, Green Jeans, Salad-head, Sprout, Tork, Craig Logan",good,40,70,Green,Garfield Mark Logan,male,Green,5'8 // 173 cm,50,-,-,79,DC Comics,Human,Green,50,28,150 lb // 68 kg
Bumblebee,-,good,35,10,Brown,Karen Beecher-Duncan,female,Black,5'7 // 170 cm,63,-,-,45,DC Comics,Human,,25,28,130 lb // 59 kg
Misfit,Batgirl,good,42,80,Blue,Charlotte Gage-Radcliffe,female,Red,- // 0 cm,63,-,-,91,DC Comics,-,,23,32,- lb // 0 kg
Brainiac-5,-,good,32,28,Green,Querl Dox,male,Blond,5'7 // 170 cm,100,-,-,60,DC Comics,-,,23,10,135 lb // 61 kg
Lobo,"The Main Man, The 'Bo, Master Frag, Mister Machete, Popebo; He-Who-Devours-Your-Entrails-And-Thoroughly-Enjoys-It",bad,85,100,Red,Lobo,male,Black,7'6 // 229 cm,88,-,-,100,DC Comics,-,,35,83,640 lb // 288 kg
Ra's-Al-Ghul,Demon's Head,bad,100,42,Green,Ra's Al Ghul,male,Grey,6'4 // 193 cm,100,-,Egypt,27,DC Comics,Human,,32,28,215 lb // 97 kg
Mera,"Queen of Atlantis, Aquawoman, Aquagirl, Water-Woman",good,80,60,Blue,-,female,Red,5'9 // 175 cm,56,-,-,92,DC Comics,Atlantean,,79,62,160 lb // 72 kg
Power-Girl,"Karen Starr, Nightwing",good,75,100,blue,Kara Zor-L,female,blond,5'11 // 180 cm,94,-,-,100,DC Comics,Kryptonian,,100,100,180 lb // 81 kg
Mister-Freeze,"Mister Zero, Doctor Zero, Doctor Schimmell",bad,28,70,-,Victor Fries,male,-,6'0 // 183 cm,75,-,-,37,DC Comics,Human,,12,32,190 lb // 86 kg
Batgirl,"Oracle, Bluebelle",good,90,40,Green,Barbara Gordon,female,Red,5'7 // 170 cm,88,-,-,34,DC Comics,Human,,33,11,126 lb // 57 kg
Flash-III,"The Fastest Man Alive, The Scarlet Speedster; formerly, Kid Flash I",good,32,60,-,Wallace Rudolph West,male,-,6'0 // 183 cm,63,Wally West,"Blue Valley, Nebraska",100,DC Comics,Human,,100,10,190 lb // 86 kg
Vixen,-,good,25,50,Amber,Mari Jiwe McCabe,female,Black,5'9 // 175 cm,50,-,Zambesi,62,DC Comics,Human,,50,38,140 lb // 63 kg
Scarecrow,-,bad,50,14,Blue,Jonathan Crane,male,Brown,6'0 // 183 cm,81,-,-,48,DC Comics,Human,,12,10,140 lb // 63 kg
Zatanna,-,good,56,28,Blue,Zatanna Zatara,female,Black,5'7 // 170 cm,81,-,-,100,DC Comics,Human,,23,10,127 lb // 57 kg
Swamp-Thing,"Green Man, Swampy, the Weed, Le Bon Gumbo, Smalsh-Yegger (on Rann)",bad,55,100,Red,Alec Holland,male,No Hair,- // 0 cm,88,-,-,100,DC Comics,God / Eternal,Green,25,95,- lb // 0 kg
Alfred-Pennyworth,Alfred Beagle,good,55,10,Blue,Alfred Thaddeus Crane Pennyworth,male,Black,5'10 // 178 cm,63,-,-,7,DC Comics,Human,,17,10,160 lb // 72 kg
